711fa5eb787504b7b499023cf5e48b34,Matchbook,h2h,San Antonio Spurs,1.75
711fa5eb787504b7b499023cf5e48b34,Matchbook,h2h_lay,Los Angeles Clippers,2.32
711fa5eb787504b7b499023cf5e48b34,Matchbook,h2h_lay,San Antonio Spurs,1.82
711fa5eb787504b7b499023cf5e48b34,Nordic Bet,h2h,Los Angeles Clippers,2.25
711fa5eb787504b7b499023cf5e48b34,Nordic Bet,h2h,San Antonio Spurs,1.69
711fa5eb787504b7b499023cf5e48b34,William Hill,h2h,Los Angeles Clippers,2.25
711fa5eb787504b7b499023cf5e48b34,William Hill,h2h,San Antonio Spurs,1.69
c206f1935445924cc9f71f6373292c14,888sport,h2h,Denver Nuggets,1.58
c206f1935445924cc9f71f6373292c14,888sport,h2h,Los Angeles Lakers,2.45
c206f1935445924cc9f71f6373292c14,Unibet,h2h,Denver Nuggets,1.58
c206f1935445924cc9f71f6373292c14,Unibet,h2h,Los Angeles Lakers,2.45
c206f1935445924cc9f71f6373292c14,Betfair,h2h,Denver Nuggets,1.64
c206f1935445924cc9f71f6373292c14,Betfair,h2h,Los Angeles Lakers,2.48
c206f1935445924cc9f71f6373292c14,Betfair,h2h_lay,Denver Nuggets,1.67
c206f1935445924cc9f71f6373292c14,Betfair,h2h_lay,Los Angeles Lakers,2.54
c206f1935445924cc9f71f6373292c14,Marathon Bet,h2h,Denver Nuggets,1.65
c206f1935445924cc9f71f6373292c14,Marathon Bet,h2h,Los Angeles Lakers,2.52
c206f1935445924cc9f71f6373292c14,Matchbook,h2h,Denver Nuggets,1.65
c206f1935445924cc9f71f6373292c14,Matchbook,h2h,Los Angeles Lakers,2.44
c206f1935445924cc9f71f6373292c14,Matchbook,h2h_lay,Denver Nuggets,1.7
c206f1935445924cc9f71f6373292c14,Matchbook,h2h_lay,Los Angeles Lakers,2.54
c206f1935445924cc9f71f6373292c14,Nordic Bet,h2h,Denver Nuggets,1.59
c206f1935445924cc9f71f6373292c14,Nordic Bet,h2h,Los Angeles Lakers,2.45
c206f1935445924cc9f71f6373292c14,William Hill,h2h,Denver Nuggets,1.61
c206f1935445924cc9f71f6373292c14,William Hill,h2h,Los Angeles Lakers,2.45
ffc3681b49b5317d3770e21cb818fc59,888sport,h2h,Dallas Mavericks,1.17
ffc3681b49b5317d3770e21cb818fc59,888sport,h2h,Orlando Magic,5.3
ffc3681b49b5317d3770e21cb818fc59,Unibet,h2h,Dallas Mavericks,1.17
ffc3681b49b5317d3770e21cb818fc59,Unibet,h2h,Orlando Magic,5.3
ffc3681b49b5317d3770e21cb818fc59,Betfair,h2h,Dallas Mavericks,1.2
ffc3681b49b5317d3770e21cb818fc59,Betfair,h2h,Orlando Magic,5.1
ffc3681b49b5317d3770e21cb818fc59,Betfair,h2h_lay,Dallas Mavericks,1.23
ffc3681b49b5317d3770e21cb818fc59,Betfair,h2h_lay,Orlando Magic,6.0
ffc3681b49b5317d3770e21cb818fc59,Marathon Bet,h2h,Dallas Mavericks,1.19
ffc3681b49b5317d3770e21cb818fc59,Marathon Bet,h2h,Orlando Magic,5.45
ffc3681b49b5317d3770e21cb818fc59,Nordic Bet,h2h,Dallas Mavericks,1.16
ffc3681b49b5317d3770e21cb818fc59,Nordic Bet,h2h,Orlando Magic,5.6
ffc3681b49b5317d3770e21cb818fc59,William Hill,h2h,Dallas Mavericks,1.17
ffc3681b49b5317d3770e21cb818fc59,William Hill,h2h,Orlando Magic,5.5
